Rk,Player,Season,Age,Team,Lg,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,Pos,Player-additional
151,Greg Vaughn,2000,34,TBD,AL,127,545,461,83,117,61,27,1,28,74,8,1,80,128,.254,.365,.499,.864,119,230,10,2,0,2,3,7D/H,vaughgr01
152,Mo Vaughn,2000,32,ANA,AL,161,712,614,93,167,100,31,0,36,117,2,0,79,181,.272,.365,.498,.864,115,306,14,14,0,5,11,*3D/H,vaughmo01
153,Randy Velarde,2000,37,OAK,AL,122,546,485,82,135,100,23,0,12,41,9,3,54,95,.278,.354,.400,.754,95,194,15,3,3,1,0,*4/H,velarra01
154,Robin Ventura,2000,32,NYM,NL,141,551,469,61,109,61,23,1,24,84,3,5,75,91,.232,.338,.439,.777,98,206,14,2,1,4,12,*5/H3,venturo01
155,José Vidro,2000,25,MON,NL,153,663,606,101,200,123,51,2,24,97,5,4,49,69,.330,.379,.540,.918,126,327,17,2,0,6,4,*4,vidrojo01
156,Fernando Vina,2000,31,STL,NL,123,554,487,81,146,112,24,6,4,31,10,8,36,36,.300,.380,.398,.779,97,194,5,28,2,1,0,*4/H,vinafe01
157,Omar Vizquel,2000,33,CLE,AL,156,717,613,101,176,139,27,3,7,66,22,10,87,72,.287,.377,.375,.753,92,230,13,5,7,5,0,*6/H,vizquom01
158,Bernie Williams,2000,31,NYY,AL,141,616,537,108,165,92,37,6,30,121,13,5,71,84,.307,.391,.566,.957,140,304,15,5,0,3,11,*8/DH,willibe02
159,Gerald Williams,2000,33,TBD,AL,146,682,632,87,173,120,30,2,21,89,12,12,34,103,.274,.312,.427,.739,87,270,6,3,9,4,0,*8/DH,willige02
160,Preston Wilson,2000,25,FLA,NL,161,674,605,94,160,91,35,3,31,121,36,14,55,187,.264,.331,.486,.817,109,294,11,8,0,6,1,*8/H,wilsopr01
161,Tony Womack,2000,30,ARI,NL,146,659,617,95,167,125,21,14,7,57,45,11,30,74,.271,.307,.384,.692,71,237,6,5,2,5,0,*6/H9,womacto01
162,Dmitri Young,2000,26,CIN,NL,152,593,548,68,166,105,37,6,18,88,0,3,36,80,.303,.346,.491,.837,107,269,16,3,1,5,6,*73H/D9,youngdm01
163,Eric Young Sr.,2000,33,CHC,NL,153,690,607,98,180,132,40,2,6,47,54,7,63,39,.297,.367,.399,.766,97,242,12,8,7,5,1,*4/H,younger01
164,Kevin Young,2000,31,PIT,NL,132,541,496,77,128,81,27,0,20,88,8,3,32,96,.258,.311,.433,.744,86,215,15,8,0,5,1,*3/HD,youngke01
165,Todd Zeile,2000,34,NYM,NL,153,623,544,67,146,85,36,3,22,79,3,4,74,85,.268,.356,.467,.823,110,254,15,2,0,3,4,*3/H,zeileto01
